camid,pid,gender_gt,gender_pred,age_gt,age_pred,age_group_gt,age_group_pred,correct_age,correct_gender,correct
cam2118,5879,M,M,25,35,2,2,1,1,1
cam2119,5582,M,M,65,31,4,2,0,1,0
cam2120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2121,2025,M,M,51,29,3,2,0,1,0
cam2122,750,M,M,40,30,3,2,0,1,0
cam2123,669,F,F,58,39,3,2,0,1,0
cam2124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2125,7747,M,M,65,29,4,2,0,1,0
cam2126,8373,M,M,46,29,3,2,0,1,0
cam2127,8348,M,M,35,33,2,2,1,1,1
cam2128,2820,M,M,48,43,3,3,1,1,1
cam2129,3156,M,M,54,41,3,3,1,1,1
cam2130,6193,F,F,33,34,2,2,1,1,1
cam2131,1403,M,M,50,37,3,2,0,1,0
cam2132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2133,6745,M,M,61,59,3,3,1,1,1
cam2134,3129,M,M,45,34,3,2,0,1,0
cam2135,1922,M,M,35,28,2,2,1,1,1
cam2136,3692,F,F,42,43,3,3,1,1,1
cam2137,3835,M,M,55,27,3,2,0,1,0
cam2138,1671,M,M,58,40,3,3,1,1,1
cam2139,1849,F,F,50,47,3,3,1,1,1
cam2140,2759,M,M,44,27,3,2,0,1,0
cam2141,3686,F,F,26,19,2,1,0,1,0
cam2142,2091,M,M,51,34,3,2,0,1,0
cam2143,5325,M,M,51,35,3,2,0,1,0
cam2144,7240,M,M,56,53,3,3,1,1,1
cam2145,1924,M,M,25,31,2,2,1,1,1
cam2146,5951,M,M,52,47,3,3,1,1,1
cam2147,5266,M,M,71,46,4,3,0,1,0
cam2148,5673,M,M,52,32,3,2,0,1,0
cam2149,3291,F,F,22,23,2,2,1,1,1
cam2150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
cam2151,5879,M,M,25,28,2,2,1,1,1
cam2152,203,M,M,49,35,3,2,0,1,0
cam2153,3098,F,F,38,26,2,2,1,1,1
cam2154,4876,M,M,42,25,3,2,0,1,0
cam2155,5242,M,M,28,45,2,3,0,1,0
cam2156,3312,F,F,45,37,3,2,0,1,0
cam2157,2074,M,M,43,47,3,3,1,1,1
